Altium Designer Pick and Place Locations
C:\Users\Yan Azeredo\Desktop\SpaceLab\flatsat-platform2\hardware\.\outputs\assembly_pick_place\assembly_pick_place.txt

========================================================================================================================
File Design Information:

Date:       27/05/21
Time:       00:21
Revision:   1ccceabb110f42c1249c135dc5ec24a206bff2ba
Variant:    No variations
Units used: mil

Designator Comment                             Layer    Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                                                                                         
CN14       TSW-101-05-T-S                      TopLayer PIN_BAR_1_2.54mm_180_GRAUS_-_Hide 10039.370     2952.756      270      "CONN HEADER 1POS .100" SNGL TIN"                                                                                   
L4         RL622-3R3K-RC                       TopLayer RL622                             10562.126     8661.317      360      "3.3ÂµH Unshielded Wirewound Inductor 5.5A 25mOhm Max Radial, Vertical Cylinder"                                    
L3         RL622-3R3K-RC                       TopLayer RL622                             13568.024     2117.990      180      "3.3ÂµH Unshielded Wirewound Inductor 5.5A 25mOhm Max Radial, Vertical Cylinder"                                    
L2         RL622-3R3K-RC                       TopLayer RL622                             4928.885      4660.700      90       "3.3ÂµH Unshielded Wirewound Inductor 5.5A 25mOhm Max Radial, Vertical Cylinder"                                    
CN19       "JST 2 position header 2.5mm"       TopLayer B2B-XH-A-M(LF)(SN)                4881.890      4212.598      270      "CONN HEADER TOP 2POS 2.5MM GRN"                                                                                    
CN18       "JST 2 position header 2.5mm"       TopLayer B2B-XH-A-M(LF)(SN)                2165.354      4616.142      270      "CONN HEADER TOP 2POS 2.5MM GRN"                                                                                    
CN17       "JST 2 position header 2.5mm"       TopLayer B2B-XH-A-M(LF)(SN)                2165.354      4173.228      270      "CONN HEADER TOP 2POS 2.5MM GRN"                                                                                    
CN16       "JST 2 position header 2.5mm"       TopLayer B2B-XH-A-M(LF)(SN)                5224.528      4216.811      270      "CONN HEADER TOP 2POS 2.5MM GRN"                                                                                    
CN15       "JST 2 position header 2.5mm"       TopLayer B2B-XH-A-M(LF)(SN)                1496.063      2125.984      180      "CONN HEADER TOP 2POS 2.5MM GRN"                                                                                    
CN13       4243-0                              TopLayer 4243-0                            15393.701     8740.157      90       "POMONA, 4243-0, Binding Post, 4243 Series, 15 A, 60 VDC, Tin Plated Contacts, Brass, Black"                        
CN2        4243-0                              TopLayer 4243-0                            7007.874      314.961       180      "POMONA, 4243-0, Binding Post, 4243 Series, 15 A, 60 VDC, Tin Plated Contacts, Brass, Black"                        
CN1        4243-0                              TopLayer 4243-0                            314.961       787.402       90       "POMONA, 4243-0, Binding Post, 4243 Series, 15 A, 60 VDC, Tin Plated Contacts, Brass, Black"                        
J2         5-146280-2                          TopLayer PIN_BAR_2_2.54MM_180_GRAUS        10039.370     196.850       180      "02 MODII HDR SRST B/A .100CL"                                                                                      
J3         5-146280-2                          TopLayer PIN_BAR_2_2.54MM_180_GRAUS        1723.261      3069.813      0        "02 MODII HDR SRST B/A .100CL"                                                                                      
SOM1       MicroZed                            TopLayer MICROZEDSOM                       5929.134      2323.319      90       "MicroZed SOM Carrier Footprint"                                                                                    
U2         TXS0108EPWR                         TopLayer SOP65P640X120-20N                 7007.874      4409.449      90       "8-Bit Bidirectional Voltage-Level Shifter For Open-Drain And Push-Pull Application"                                
S1         1825116-1                           TopLayer SW_1825116-1                      482.071       2244.094      90       "Slide Switch SPDT Through Hole, Right Angle"                                                                       
U16        TXB0108PWR                          TopLayer SOP65P640X120-20N                 9409.449      4409.449      90       "8-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15-kV ESD Protect 20-TSSOP -40 to 85" 
J9         87832-1420                          TopLayer SAMTEC_TSW-107-05-F-D             14774.418     8700.788      90       "Connector Header Surface Mount 14 position 0.079 _2.00mm_"                                                         
J6         MMS-110-01-L-SV                     TopLayer SAMTEC_MMS-110-01-L-SV            9763.780      3818.898      270      "Conn Socket Strip SKT 10 POS 2mm Solder ST Thru-Hole Tube"                                                         
J5         MMS-110-01-L-SV                     TopLayer SAMTEC_MMS-110-01-L-SV            10118.110     4448.819      180      "Conn Socket Strip SKT 10 POS 2mm Solder ST Thru-Hole Tube"                                                         
C28        0.1uF/25V                           TopLayer CC0805                            9645.669      3503.937      90       "CAP CER 0.1uF 25V 10% X7R 0805"                                                                                    
C27        0.1uF/25V                           TopLayer CC0805                            9645.669      3661.417      90       "CAP CER 0.1uF 25V 10% X7R 0805"                                                                                    
C26        0.1uF/25V                           TopLayer CC0805                            9645.669      3818.898      90       "CAP CER 0.1uF 25V 10% X7R 0805"                                                                                    
C25        0.1uF/25V                           TopLayer CC0805                            9645.669      3976.378      90       "CAP CER 0.1uF 25V 10% X7R 0805"                                                                                    
C24        0.1uF/25V                           TopLayer CC0805                            9645.669      4133.858      90       "CAP CER 0.1uF 25V 10% X7R 0805"                                                                                    
